Unitless Data	|Pcomp(PORT_2,0)|[1,21,X] (mW) : Rectenna.AP_HB (Freq = 2.45 GHz
Pwr = -10 dBm)	|Vcomp(PORT_2,0)|[1,21,X] (V) : Rectenna.AP_HB (Freq = 2.45 GHz
Pwr = -10 dBm)	|Icomp(PORT_2,0)|[1,21,X] (mA) : Rectenna.AP_HB (Freq = 2.45 GHz
Pwr = -10 dBm)
50	0.00224019	0.0105835	0.211669
50.5	0.00226173	0.0106873	0.211629
51	0.00228326	0.010791	0.211589
51.5	0.00230477	0.0108947	0.211548
52	0.00232626	0.0109984	0.211508
52.5	0.00234773	0.0111021	0.211468
53	0.00236918	0.0112057	0.211428
53.5	0.00239062	0.0113092	0.211387
54	0.00241204	0.0114127	0.211347
54.5	0.00243344	0.0115162	0.211306
55	0.00245483	0.0116196	0.211266
55.5	0.00247619	0.011723	0.211225
56	0.00249754	0.0118263	0.211185
56.5	0.00251888	0.0119296	0.211144
57	0.00254019	0.0120329	0.211104
57.5	0.00256149	0.0121361	0.211063
58	0.00258277	0.0122393	0.211022
58.5	0.00260403	0.0123424	0.210982
59	0.00262527	0.0124455	0.210941
59.5	0.0026465	0.0125486	0.210901
60	0.00266771	0.0126516	0.21086
60.5	0.00268891	0.0127546	0.210819
61	0.00271008	0.0128575	0.210779
61.5	0.00273124	0.0129604	0.210738
62	0.00275238	0.0130632	0.210697
62.5	0.00277351	0.013166	0.210656
63	0.00279462	0.0132688	0.210616
63.5	0.00281571	0.0133715	0.210575
64	0.00283678	0.0134742	0.210534
64.5	0.00285784	0.0135768	0.210494
65	0.00287888	0.0136795	0.210453
65.5	0.00289991	0.013782	0.210412
66	0.00292091	0.0138845	0.210372
66.5	0.0029419	0.013987	0.210331
67	0.00296288	0.0140895	0.21029
67.5	0.00298383	0.0141919	0.21025
68	0.00300478	0.0142942	0.210209
68.5	0.0030257	0.0143965	0.210168
69	0.00304661	0.0144988	0.210128
69.5	0.0030675	0.0146011	0.210087
70	0.00308837	0.0147033	0.210047
70.5	0.00310923	0.0148054	0.210006
71	0.00313007	0.0149075	0.209965
71.5	0.00315089	0.0150096	0.209925
72	0.0031717	0.0151117	0.209884
72.5	0.0031925	0.0152137	0.209844
73	0.00321327	0.0153156	0.209803
73.5	0.00323403	0.0154176	0.209763
74	0.00325477	0.0155194	0.209722
74.5	0.0032755	0.0156213	0.209682
75	0.00329621	0.0157231	0.209641
75.5	0.00331691	0.0158249	0.209601
76	0.00333759	0.0159266	0.20956
76.5	0.00335825	0.0160283	0.20952
77	0.00337889	0.0161299	0.20948
77.5	0.00339952	0.0162315	0.209439
78	0.00342014	0.0163331	0.209399
78.5	0.00344074	0.0164347	0.209359
79	0.00346132	0.0165362	0.209318
79.5	0.00348189	0.0166376	0.209278
80	0.00350244	0.016739	0.209238
80.5	0.00352297	0.0168404	0.209198
81	0.00354349	0.0169417	0.209157
81.5	0.003564	0.0170431	0.209117
82	0.00358448	0.0171443	0.209077
82.5	0.00360495	0.0172455	0.209037
83	0.00362541	0.0173467	0.208997
83.5	0.00364585	0.0174479	0.208957
84	0.00366628	0.017549	0.208917
84.5	0.00368669	0.0176501	0.208877
85	0.00370708	0.0177511	0.208837
85.5	0.00372746	0.0178521	0.208797
86	0.00374782	0.0179531	0.208757
86.5	0.00376817	0.018054	0.208717
87	0.0037885	0.0181549	0.208677
87.5	0.00380882	0.0182557	0.208637
88	0.00382912	0.0183565	0.208597
88.5	0.0038494	0.0184573	0.208557
89	0.00386967	0.018558	0.208517
89.5	0.00388993	0.0186587	0.208478
90	0.00391017	0.0187594	0.208438
90.5	0.00393039	0.01886	0.208398
91	0.0039506	0.0189606	0.208358
91.5	0.0039708	0.0190612	0.208319
92	0.00399097	0.0191617	0.208279
92.5	0.00401114	0.0192621	0.208239
93	0.00403129	0.0193626	0.2082
93.5	0.00405142	0.019463	0.20816
94	0.00407154	0.0195634	0.208121
94.5	0.00409164	0.0196637	0.208081
95	0.00411173	0.019764	0.208042
95.5	0.00413181	0.0198642	0.208002
96	0.00415186	0.0199644	0.207963
96.5	0.00417191	0.0200646	0.207924
97	0.00419194	0.0201648	0.207884
97.5	0.00421195	0.0202649	0.207845
98	0.00423195	0.0203649	0.207806
98.5	0.00425193	0.020465	0.207766
99	0.0042719	0.020565	0.207727
99.5	0.00429186	0.0206649	0.207688
100	0.0043118	0.0207649	0.207649
100.5	0.00433172	0.0208648	0.20761
101	0.00435163	0.0209646	0.20757
101.5	0.00437153	0.0210644	0.207531
102	0.00439141	0.0211642	0.207492
102.5	0.00441128	0.021264	0.207453
103	0.00443113	0.0213637	0.207414
103.5	0.00445097	0.0214633	0.207375
104	0.00447079	0.021563	0.207336
104.5	0.0044906	0.0216626	0.207298
105	0.0045104	0.0217622	0.207259
105.5	0.00453018	0.0218617	0.20722
106	0.00454994	0.0219612	0.207181
106.5	0.00456969	0.0220606	0.207142
107	0.00458943	0.0221601	0.207104
107.5	0.00460915	0.0222595	0.207065
108	0.00462886	0.0223588	0.207026
108.5	0.00464855	0.0224581	0.206987
109	0.00466823	0.0225574	0.206949
109.5	0.0046879	0.0226567	0.20691
110	0.00470755	0.0227559	0.206872
110.5	0.00472719	0.0228551	0.206833
111	0.00474681	0.0229542	0.206795
111.5	0.00476642	0.0230533	0.206756
112	0.00478601	0.0231524	0.206718
112.5	0.0048056	0.0232514	0.206679
113	0.00482516	0.0233504	0.206641
113.5	0.00484471	0.0234494	0.206603
114	0.00486425	0.0235484	0.206564
114.5	0.00488378	0.0236473	0.206526
